Data;Saldo das operacoes de credito por atividade economica - Setor rural ;;
01/01/2000;21473,20789;;
01/02/2000;21854,83683;;
01/03/2000;22365,59454;;
01/04/2000;21952,7115;;
01/05/2000;22133,65626;;
01/06/2000;22575,32596;;
01/07/2000;22480,7412;;
01/08/2000;22515,2852;;
01/09/2000;21409,05475;;
01/10/2000;21706,79112;;
01/11/2000;22253,73778;;
01/12/2000;22956,9549;;
01/01/2001;23016,99567;;
01/02/2001;23559,00746;;
01/03/2001;23645,36746;;
01/04/2001;23892,93279;;
01/05/2001;24064,00783;;
01/06/2001;19977,12373;;
01/07/2001;19997,68564;;
01/08/2001;20380,95954;;
01/09/2001;21319,40485;;
01/10/2001;22166,5553;;
01/11/2001;22814,66653;;
01/12/2001;22335,9854;;
01/01/2002;22481,56368;;
01/02/2002;23429,05623;;
01/03/2002;23364,08061;;
01/04/2002;23521,99603;;
01/05/2002;23711,16555;;
01/06/2002;23936,52403;;
01/07/2002;23423,29889;;
01/08/2002;23633,85279;;
01/09/2002;24945,70229;;
01/10/2002;26443,4314;;
01/11/2002;27142,53614;;
01/12/2002;28563,77497;;
01/01/2003;29676,58523;;
01/02/2003;30571,4393;;
01/03/2003;30832,98673;;
01/04/2003;31377,46595;;
01/05/2003;32130,85412;;
01/06/2003;33260,11391;;
01/07/2003;33192,67086;;
01/08/2003;33870,39123;;
01/09/2003;35720,14014;;
01/10/2003;37286,13477;;
01/11/2003;38015,67113;;
01/12/2003;38899,01054;;
01/01/2004;38810,18311;;
01/02/2004;39168,78273;;
01/03/2004;39261,72253;;
01/04/2004;39799,62195;;
01/05/2004;40366,30803;;
01/06/2004;41492,27791;;
01/07/2004;40830,18459;;
01/08/2004;41537,5141;;
01/09/2004;43937,49957;;
01/10/2004;45267,44354;;
01/11/2004;46732,2736;;
01/12/2004;48114,85605;;
01/01/2005;48160,91471;;
01/02/2005;48040,83319;;
01/03/2005;48509,64461;;
01/04/2005;49242,47088;;
01/05/2005;49270,43507;;
01/06/2005;49484,27887;;
01/07/2005;48506,3547;;
01/08/2005;48046,59052;;
01/09/2005;49066,46098;;
01/10/2005;51032,17903;;
01/11/2005;52379,395;;
01/12/2005;54248,88333;;
01/01/2006;54540,0399;;
01/02/2006;54908,50922;;
01/03/2006;55610,90387;;
01/04/2006;56329,74805;;
01/05/2006;57324,94422;;
01/06/2006;58137,55067;;
01/07/2006;57695,88097;;
01/08/2006;57930,28668;;
01/09/2006;59415,67864;;
01/10/2006;61332,04812;;
01/11/2006;62605,24124;;
01/12/2006;63890,77149;;
01/01/2007;64700,08805;;
01/02/2007;65157,3848;;
