data;Populacao Ocupada Trabalhador Formal (Mil pessoas) 
20120300;51170
20120400;51630
20120500;51833
20120600;52057
20120700;52116
20120800;52293
20120900;52457
20121000;52532
20121100;52647
20121200;52819
20130100;52791
20130200;52690
20130300;52481
20130400;52702
20130500;52888
20130600;53064
20130700;53369
20130800;53468
20130900;53585
20131000;53784
20131100;54033
20131200;54099
20140100;54055
20140200;54267
20140300;54446
20140400;54739
20140500;54860
20140600;55062
20140700;54924
20140800;54966
20140900;55021
20141000;55104
20141100;55110
20141200;55151
20150100;55061
20150200;54865
20150300;54764
20150400;54828
20150500;54601
20150600;54545
20150700;54374
20150800;54257
20150900;54121
20151000;54130
20151100;54119
