data;Populacao Ocupada Trabalhador Informal (Mil pessoas) 
20120300;36871
20120400;37194
20120500;37452
20120600;37500
20120700;37495
20120800;37572
20120900;37624
20121000;37637
20121100;37667
20121200;37487
20130100;37177
20130200;36889
20130300;36961
20130400;37182
20130500;37403
20130600;37493
20130700;37482
20130800;37503
20130900;37592
20131000;37516
20131100;37651
20131200;37782
20140100;37533
20140200;37219
20140300;36806
20140400;36810
20140500;36948
20140600;36990
20140700;37007
20140800;36973
20140900;37247
20141000;37489
20141100;37597
20141200;37724
20150100;37629
20150200;37441
20150300;37260
20150400;37350
20150500;37504
20150600;37666
20150700;37810
20150800;37871
20150900;37971
20151000;38156
20151100;38034
